date,close
2016-05-19,105.31
2016-05-20,106.47
2016-05-23,106.33
2016-05-24,108.46
2016-05-25,109.24
2016-05-26,109.56
2016-05-27,110.13
2016-05-31,110.34
2016-06-01,110.35
2016-06-02,110.58
2016-06-03,110.06
2016-06-06,110.46
2016-06-07,110.18
2016-06-08,110.37
2016-06-09,110.19
2016-06-10,108.94
2016-06-13,108.03
2016-06-14,108.03
2016-06-15,107.72
2016-06-16,108.04
2016-06-17,106.49
2016-06-20,107.16
2016-06-21,107.5
2016-06-22,107.24
2016-06-23,108.77
2016-06-24,104.29
2016-06-27,102.22
2016-06-28,104.46
2016-06-29,106.31
2016-06-30,107.54
2016-07-01,108.08
2016-07-05,107.42
2016-07-06,108.3
2016-07-07,108.62
2016-07-08,110.3
2016-07-11,110.93
2016-07-12,111.49
2016-07-13,111.22
2016-07-14,111.98
2016-07-15,111.8
2016-07-18,112.54
2016-07-19,112.13
2016-07-20,113.44
2016-07-21,113.18
2016-07-22,113.65
2016-07-25,113.66
2016-07-26,113.79
2016-07-27,114.58
2016-07-28,114.98
2016-07-29,115.23
2016-08-01,115.84
2016-08-02,114.96
2016-08-03,115.34
2016-08-04,115.67
2016-08-05,116.78
2016-08-08,116.65
2016-08-09,116.92
2016-08-10,116.62
2016-08-11,117.12
2016-08-12,117.2
2016-08-15,117.7
2016-08-16,117.05
2016-08-17,117.26
2016-08-18,117.29
2016-08-19,117.26
2016-08-22,117.35
2016-08-23,117.56
2016-08-24,116.8
2016-08-25,116.61
2016-08-26,116.78
2016-08-29,116.94
2016-08-30,116.56
2016-08-31,116.44
2016-09-01,116.74
2016-09-02,117.12
2016-09-06,117.85
2016-09-07,117.92
2016-09-08,117.23
2016-09-09,114.28
2016-09-12,116.33
2016-09-13,115.29
2016-09-14,115.84
2016-09-15,117.64
2016-09-16,117.29
2016-09-19,116.78
2016-09-20,117.0
2016-09-21,118.15
2016-09-22,119.09
2016-09-23,118.33
2016-09-26,117.34
2016-09-27,118.5
2016-09-28,118.7
2016-09-29,117.84
2016-09-30,118.72
2016-10-03,118.55
2016-10-04,118.37
2016-10-05,118.79
2016-10-06,118.73
2016-10-07,118.47
2016-10-10,119.22
2016-10-11,117.52
2016-10-12,117.42
2016-10-13,117.0
2016-10-14,117.14
2016-10-17,116.82
2016-10-18,117.86
2016-10-19,117.85
2016-10-20,117.71
2016-10-21,118.15
2016-10-24,119.57
2016-10-25,119.19
2016-10-26,118.38
2016-10-27,117.84
2016-10-28,117.1
2016-10-31,116.99
2016-11-01,116.11
2016-11-02,115.18
2016-11-03,114.05
2016-11-04,113.65
2016-11-07,116.35
2016-11-08,117.11
2016-11-09,117.65
2016-11-10,115.75
2016-11-11,115.8
2016-11-14,114.63
2016-11-15,116.22
2016-11-16,116.91
2016-11-17,117.76
2016-11-18,117.32
2016-11-21,118.54
2016-11-22,118.9
2016-11-23,118.42
2016-11-25,118.8
2016-11-28,118.53
2016-11-29,118.94
2016-11-30,117.5
2016-12-01,115.47
2016-12-02,115.7
2016-12-05,116.6
2016-12-06,116.88
2016-12-07,118.36
2016-12-08,118.57
2016-12-09,119.5
2016-12-12,118.96
2016-12-13,120.46
2016-12-14,120.21
2016-12-15,120.4
2016-12-16,119.6
2016-12-19,120.09
2016-12-20,120.55
2016-12-21,120.46
2016-12-22,120.12
2016-12-23,120.2
2016-12-27,120.82
2016-12-28,119.88
2016-12-29,119.71
2016-12-30,118.48
2017-01-03,119.54
2017-01-04,120.19
2017-01-05,120.87
2017-01-06,121.93
2017-01-09,122.33
2017-01-10,122.6
2017-01-11,122.93
2017-01-12,122.74
2017-01-13,123.16
2017-01-17,122.79
2017-01-18,123.04
2017-01-19,122.98
2017-01-20,123.25
2017-01-23,123.35
2017-01-24,124.18
2017-01-25,125.43
2017-01-26,125.56
2017-01-27,125.8
2017-01-30,124.82
2017-01-31,124.57
2017-02-01,125.43
2017-02-02,125.32
2017-02-03,125.68
2017-02-06,125.83
2017-02-07,126.29
2017-02-08,126.5
2017-02-09,126.96
2017-02-10,127.38
2017-02-13,128.1
2017-02-14,128.53
2017-02-15,129.29
2017-02-16,129.25
2017-02-17,129.81
2017-02-21,130.45
2017-02-22,130.5
2017-02-23,130.01
2017-02-24,130.26
2017-02-27,130.42
2017-02-28,130.02
2017-03-01,131.44
2017-03-02,130.78
2017-03-03,131.02
2017-03-06,130.73
2017-03-07,130.51
2017-03-08,130.74
2017-03-09,130.84
